id,title,year,rating,votes,length,genres
tt0423866,3-Iron ,2004,8,18074,88,Crime|Drama|Romance
tt0050086,3:10 to Yuma ,1957,7.7,6023,92,Action|Adventure|Drama|Thriller|Western
tt0381849,3:10 to Yuma ,2007,7.9,113802,122,Action|Crime|Drama|Western
tt0389722,30 Days of Night ,2007,6.6,61149,113,Horror|Thriller
tt0416449,300,2006,7.8,269328,117,Action|Fantasy|History|War
tt0233142,3000 Miles to Graceland ,2001,5.7,21836,125,Action|Comedy|Crime|Thriller
tt1100048,35 Shots of Rum ,2008,7.1,1484,100,Drama
tt0057809,36 Hours ,1965,7.2,1438,115,War|Thriller
tt0390808,36th Precinct ,2004,7.2,7676,111,Action|Crime|Drama|Thriller
tt0461694,4 Minutes ,2006,7.3,2745,112,Drama|Music
tt1032846,"4 Months, 3 Weeks and 2 Days ",2007,7.9,22710,113,Drama
tt1514041,4.3.2.1. ,2010,5.8,3055,117,Crime|Thriller
tt0243736,40 Days and 40 Nights ,2002,5.4,31585,96,Comedy|Romance|Drama
tt0914837,44 Inch Chest ,2009,5.9,2613,95,Crime|Drama
tt0083511,48 Hrs. ,1982,6.9,24282,96,Action|Comedy|Crime|Drama|Thriller
tt0983213,5 Centimeters Per Second ,2007,8,5363,0,Animation|Drama|Romance
tt1486193,5 Days of War ,2011,5.7,3436,0,Action|Drama|War
tt0044314,5 Fingers ,1952,7.7,1523,108,Drama|Thriller
tt0343660,50 First Dates ,2004,6.8,79987,99,Comedy|Romance
tt0090567,52 Pick-Up ,1986,6.2,1865,110,Crime|Mystery|Thriller
tt0120577,54,1998,5.6,15914,93,Drama|History
tt0056800,55 Days at Peking ,1963,6.8,2302,154,Drama|History|War
tt0494199,5ive Girls ,2006,4.6,1518,95,Horror|Thriller
tt0354356,5x2 ,2004,6.7,4981,90,Drama|Romance
tt0057812,7 Faces of Dr. Lao ,1964,7,2022,100,Fantasy|Mystery|Western
tt0109020,71 Fragments of a Chronology of Chance ,1994,7.2,1926,100,Drama
tt0154443,8 \xbd Women ,1999,5.6,2399,118,Comedy|Drama
tt0118541,8 Heads in a Duffel Bag ,1997,4.9,5419,95,Comedy|Crime
tt0298203,8 Mile ,2002,6.7,67191,110,Drama|Music
tt0090568,8 Million Ways to Die ,1986,5.3,1855,115,Action|Adventure|Crime|Thriller
tt0109021,8 Seconds ,1994,6.1,2102,105,Biography|Drama|Sport
tt0283832,8 Women ,2002,7,14680,111,Musical|Comedy|Crime|Mystery
tt0056801,8\xbd ,1963,8.2,34600,138,Drama|Fantasy
tt0292886,800 Bullets ,2002,6.3,2100,124,Comedy|Crime|Drama|Western
tt0090570,84 Charing Cross Road ,1987,7.4,3364,100,Biography|Drama|Romance
tt0411061,88 Minutes ,2007,5.9,35118,108,Drama|Mystery|Thriller
tt0134273,8MM ,1999,6.3,52506,123,Crime|Mystery|Thriller
tt0411705,9 Songs ,2004,4.9,9331,71,Drama|Music|Romance
tt0094597,976-EVIL ,1988,4.3,1755,92,Horror
